Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Zimbabwe,ZWE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,692,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,657,..,..
Zimbabwe,ZWE,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1416000,1597000,1336000,2090000,2250000,1967000,2217000,2041000,2256000,1854000,1559000,2287000,2506000,1956000,2017000,2239000,2423000,1794000,1833000,1880000,2057000,2168000,2423000,2580000,2294000,639000,..,..,..
Zimbabwe,ZWE,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,256000,69000,123000,213000,331000,..,..,..,386000,498000,474000,541000,547000,593000,631000,650000,693000,720000,2946000,3182000,3393000,3192000,2768000,2288000,3275000,..,..,..,..
Zimbabwe,ZWE,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.9,..,42.4,..,..,..,..
Zimbabwe,ZWE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,12.608,12.821,13.082,13.578,14.092,14.62,15.165,15.727,16.306,16.88,17.362,17.855,18.36,18.874,19.4,19.873,20.356,20.846,21.345,21.853,22.371,22.895,23.429,24.069,24.736,25.414,26.105,26.809,27.524,28.25,28.988,29.738,30.499,30.94,31.335,31.732,32.132,32.534,32.939,33.347,33.758,34.17,34.585,34.479,34.294,34.11,33.926,33.743,33.56,33.378,33.196,33.015,32.834,32.654,32.504,32.385,32.296,32.237,32.209,32.21,32.242,32.303,32.395,32.517
Africa Eastern and Southern,AFE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3415.74825471512,3322.2000970753,3163.32308707997,3055.99721634645,3026.94470965302,3082.01625994631,3168.04243328736,3213.19807964162,3194.23870909169,3199.60865870492,3220.25914647682,3253.780150443,3295.02525355099,3311.32590864374,3412.04747946244,3535.56327691657,3675.2219341346,3822.57951769503,3892.15278560055,3824.01348164908,3921.77802877876,3983.11061802536,3990.08030044935,4048.08918522265,4108.19005374871,4129.05511950062,4125.36139173362,4135.76793691998,4142.95031269856,4130.05722163369,3919.4992295104,3994.17165362078,4038.63868929989,4047.00703115979
Africa Eastern and Southern,AFE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,44.2000161820481,44.285568588289,44.3819921563279,44.4950978851111,44.6098096523218,44.7288589221977,44.8547629154212,44.9735331734901,45.0839111744781,45.1920354584117,45.3102679138395,45.4285747989249,45.5395933572709,45.6181880061979,45.6522277977864,45.6767443704248,45.7160922613424,45.739127929765,45.7206612590142,45.7020960422987,45.6741830578868,45.6605096568793,45.6649575169904,45.6365197830601,45.5786886264196,45.5197481444781,45.4788747945669,45.4754018375813,45.5069949121705,45.5386650874645,45.5602375679936,45.5808496987614,45.6075275574049,45.6435242910124,45.5685297989557,45.4488521680713,45.4166582225268,45.3629893920904,45.2259728997999,45.042418977025,44.8507743046745,44.6461589317462,44.4445584713958,44.2581117437644,44.0855575941329,43.9346272237786,43.7995792106487,43.6755418260986,43.5661319791078,43.4605719989725,43.3412574781264,43.2077638965504,43.0727197145178,42.9336843971767,42.7773329298219,42.5941602352078,42.4239938736668,42.2552510436064,42.0527761464688,41.8320898365014,41.598104923321,41.362729139574,41.1228277422019,40.856962218112
Africa Eastern and Southern,AFE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.062574277057914,0.1142714613629,0.135809975850208,0.147536203087257,0.179057886309788,0.196025141368356,0.29238007125147,0.351953126198483,0.452910908034707,0.535180357803304,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1
Africa Eastern and Southern,AFE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11583544.7058296,13088654.2040979,13456245.9733439,14403851.8325464,15309377.8420342,15353177.301305,15854696.2860028,17383375.4157474,17844385.2820236,18745951.1627553,19917566.3729011,22650320.8799121,25114898.4367538,25413098.2674515,25964418.0695383,29071500.5114406,31650243.8841427,32748552.3906752,34426632.6796927,35738392.2140136,35318681.4645499,37645887.774466,38258347.875597,41189145.2687099,39826701.4025488,..,..,..,..
Africa Eastern and Southern,AFE,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.5638104309121,14.8114099770576,15.069248988944,15.3479755955329,15.6401947948091,15.9412824839848,16.2551767371427,16.5743103647209,16.899608219168,17.2345181088218,17.551966796286,17.8753210259843,18.2205349024791,18.5623419871971,18.8788987816351,19.2012051994471,19.5241247237822,19.8604375818888,20.2150962477208,20.5550221131907,20.8761123478012,21.1656900615074,21.4451058371631,21.7871068282136,22.1925356978551,22.6451052024127,23.148128021038,23.6596492286696,24.1735493541004,24.6828501206177,25.2027985279673,25.6451460467216,26.07387389696,26.5098231519078,26.948708857195,27.3352881909909,27.6248973342379,27.9110722237409,28.2033753054683,28.489867849738,28.7727799350881,29.0715908083576,29.3861902826353,29.6984193472006,30.0141481021328,30.349868510116,30.6760655097936,30.9347663936363,31.3432413028329,31.7575261988182,32.1812909874008,32.6176919701458,33.0404735995372,33.4762116803168,33.9369626271775,34.4255836913133,34.8947525660119,35.3589006750633,35.8475977789474,36.3362593667609,36.82830236936,37.3236988391753,37.825158078494,38.335337324572
Africa Western and Central,AFW,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3328.88033327985,3281.24471593989,3264.4227871301,3143.151891036,3060.30597192798,3047.56879218613,3107.67740383576,3164.29851934602,3195.92823737276,3165.31627959278,3193.50211762617,3266.63147674008,3465.03696591413,3549.73396045084,3719.20785335475,3824.09586196343,3915.98120656163,4008.77318219461,4139.43684852176,4264.66744562912,4427.4727066001,4513.11705885515,4622.8278132727,4765.67581292301,4907.92241389109,4914.57231835675,4807.01663694626,4800.64378885975,4817.20349375277,4853.2810825933,4690.06298609972,4756.30841947667,4816.95691648424,4857.98753349736
Africa Western and Central,AFW,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,41.3223729197225,41.4171935731326,41.5290339431241,41.6961176286942,41.9444263076979,42.1685764009463,42.3315208693869,42.492222066837,42.6476920580682,42.7997777810945,42.9436575294232,43.0922588011398,43.2479901484719,43.3982008329858,43.5500514783731,43.7072180619475,43.8522533819648,43.9880026300368,44.140468346672,44.3040449976765,44.4857560144726,44.6775154602251,44.8530310833137,45.0383182429418,45.241828375405,45.4201970937241,45.5495981873021,45.6199199234734,45.6016941878358,45.5441742072897,45.4887328715013,45.4073178446143,45.2944847016937,45.1573743327668,45.0137182561486,44.8614273104777,44.7126429011261,44.5789508269287,44.4404086603956,44.3255483522722,44.2568710306875,44.2267590788805,44.2081087513309,44.1813340494691,44.1560901663171,44.1472889275124,44.1577343936646,44.1709233093501,44.1831831161936,44.1945363560834,44.2073116347357,44.227273514264,44.2556425242001,44.2666766649868,44.2315266838095,44.1551628174621,44.0420219032283,43.8935351090288,43.7212138186401,43.5314105316625,43.3193465660061,43.0950269902435,42.8523448654922,42.5756758682821
Africa Western and Central,AFW,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0100746707116333,..,0.0490133901171414,0.0638623692018412,0.0761774862454016,0.105775943595984,..,0.108365892133372,0.106400199967978,0.132959962499429,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5
Africa Western and Central,AFW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2670705.93365591,3027134.7330724,3243144.34732534,3422652.33694757,3897975.03054576,4162850.00307587,4615887.34170828,4697120.10955494,5013049.70972226,5839376.58498229,6320831.90878145,6955607.10540813,9389591.49388354,10157585.7759999,10569712.6444844,11070796.4548825,8902380.17844765,10221030.3977021,10085818.9405127,10544624.002472,13311681.7254405,13150775.3380124,..,..,..,..,..,..,..
Africa Western and Central,AFW,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.7053906572829,15.0901232331247,15.4840755171037,15.8975919499162,16.3292078540238,16.7786496991592,17.2079557181946,17.6524799358983,18.1109515233741,18.5820048538752,19.052719159514,19.5933778918516,20.1497540385888,20.7163209652862,21.2949425476193,21.8831243924284,22.4876629669032,23.0539831517505,23.6207751807237,24.1003317105443,24.5850937830881,25.1925777557965,25.7978068012752,26.4084325004092,27.0492909237904,27.7311227586106,28.4049922543877,29.070640688576,29.7254696549143,30.3654556843314,30.9705411096988,31.4103296117598,31.8374912003679,32.2591262854723,32.6662695079749,33.0672828094985,33.4740743862744,33.927806329522,34.3932931143835,34.863518035025,35.3370493782956,35.9449080222937,36.5548813810684,37.1733128807247,37.7989767837642,38.4344837675033,39.0793036228639,39.7215976792338,40.3605353308944,41.0015117521088,41.6471579047466,42.2882991749983,42.9258849777623,43.5540938885034,44.180175009112,44.8058632577217,45.4250663763621,46.0394778242827,46.6494258286276,47.2554132163805,47.857831024778,48.454806269918,49.0473845486314,49.6354097027931
Arab World,ARB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10988.3887199072,10780.1292407927,11148.9830288489,11135.8961590512,11152.8247888358,11178.0489913319,11437.7851852826,11719.9805770962,12087.5414742461,12102.5959909552,12600.0977925605,12561.1089142041,12372.0508320332,12567.1002325876,13381.8105409893,13760.569987378,14214.8531086685,14481.2157924895,14906.1498473529,14670.8871619374,15009.1466320213,15277.9223555986,15576.3494323054,15582.3928957524,15621.7938180087,15910.033247964,16195.8816055956,16152.609077536,16278.6121161225,16297.6772316681,15320.1097907467,15776.9848521443,16398.3329243605,16288.0542958408
