,DONid,Headline,ReportDate,Link,DiseaseLevel1,DiseaseLevel2,Country,ISO,OutbreakEpicenter,CasesTotal,in_dis,year,id,Notes,Serology Info,
6,DON-1996-07-18,1996 - Dengue/dengue haemorrhagic fever in the Philippines and Malaysia,7/26/96,https://iris.who.int/bitstream/handle/10665/229840/WER7130_231-231.PDF?sequence=1&isAllowed=y,Dengue fever,NA,Malaysia,MYS,"Federal Territory, Selangor, Johor, Perak, Pahang",4813,yes,1996,MYS_1996,,Yes,Link updated
5,DON-1996-07-18,1996 - Dengue/dengue haemorrhagic fever in the Philippines and Malaysia,7/18/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_07_18-en/,Dengue fever,NA,Philippines,PHL,NA,1485,yes,1996,PHL_1996,,Yes,
14,DON-1996-11-28-a,1996 - Dengue/dengue haemorrhagic fever in India - Update 4,11/28/96,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_28a-en/,Dengue fever,NA,India,IND,Delhi,8777,yes,1996,IND_1996,,"Yes, no prop",
15,DON-1997-02-28-a,1997 - Dengue fever in the Cook Islands,2/28/97,https://www.who.int/emergencies/disease-outbreak-news/item/1997_02_28a-en/,Dengue fever,NA,Cook Islands,COK,Rarotonga,123,no,1997,COK_1997,,Yes,
16,DON-1997-06-18,1997 - Dengue in Cuba,6/18/97,https://www.who.int/emergencies/disease-outbreak-news/item/1997_06_18-en/,Dengue fever,NA,Cuba,CUB,Santiago,826,yes,1997,CUB_1997,,No,
17,DON-1997-07-31-a,1997 - Dengue outbreak in Malaysia,7/31/97,https://www.who.int/emergencies/disease-outbreak-news/item/1997_07_31a-en/,Dengue fever,NA,Malaysia,MYS,NA,11328,yes,1997,MYS_1997,,Yes,
18,DON-1998-02-13,1998 - Dengue haemorrhagic fever in Cambodia,2/13/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_02_13-en/,Dengue fever,NA,Cambodia,KHM,Phnom Penh,227,yes,1998,KHM_1998,,No,
19,DON-1998-04-15,1998 - Dengue and Dengue Haemorrhagic Fever in Malaysia,4/15/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_04_15-en/,Dengue fever,NA,Malaysia,MYS,all states,19544,yes,1998,MYS_1998,,Yes,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,Cambodia,KHM,NA,,,1998,,,No,
AP_edit,DON-1998-06-08,1998 - Dengue,6/8/98,https://www.who.int/emergencies/disease-outbreak-news/item/1998_06_08e-en/,Dengue fever,NA,Vietnam,VNM,,,,1998,,,No,
