"","ISO_A0","adjusted_year","cases","full_name","continent","label_y","hemisphere","join","total_missing","YearN","YearN2","YearN3","YearN4","population_total","ave_cases","avg_inc","YearN_continent","YearN_country","offset1","country","countryID","continentID"
"33","ABW",2022,11,"Aruba","Caribbean",12.5174,"north","ABW 2022",13,33,33,33,33,107310,302.657142857143,290.71501900659,"Caribbean_33","ABW_33",1.0731,"ABW",1,2
"34","ABW",2023,22,"Aruba","Caribbean",12.5174,"north","ABW 2023",13,34,34,34,34,107359,302.657142857143,290.71501900659,"Caribbean_34","ABW_34",1.07359,"ABW",1,2
"35","ABW",2024,88,"Aruba","Caribbean",12.5174,"north","ABW 2024",13,35,35,35,35,107624,302.657142857143,290.71501900659,"Caribbean_35","ABW_35",1.07624,"ABW",1,2
"36","ARG",1990,0,"Argentina","South America",-33.501159,"south","ARG 1990",7,1,1,1,1,32755901,26642.2,59.2178101978897,"South America_1","ARG_1",327.55901,"ARG",2,5
"37","ARG",1991,0,"Argentina","South America",-33.501159,"south","ARG 1991",7,2,2,2,2,33230294,26642.2,59.2178101978897,"South America_2","ARG_2",332.30294,"ARG",2,5
"38","ARG",1992,0,"Argentina","South America",-33.501159,"south","ARG 1992",7,3,3,3,3,33693527,26642.2,59.2178101978897,"South America_3","ARG_3",336.93527,"ARG",2,5
"39","ARG",1993,0,"Argentina","South America",-33.501159,"south","ARG 1993",7,4,4,4,4,34152717,26642.2,59.2178101978897,"South America_4","ARG_4",341.52717,"ARG",2,5
"40","ARG",1994,0,"Argentina","South America",-33.501159,"south","ARG 1994",7,5,5,5,5,34613491,26642.2,59.2178101978897,"South America_5","ARG_5",346.13491,"ARG",2,5
"41","ARG",1995,0,"Argentina","South America",-33.501159,"south","ARG 1995",7,6,6,6,6,35070020,26642.2,59.2178101978897,"South America_6","ARG_6",350.7002,"ARG",2,5
"42","ARG",1996,0,"Argentina","South America",-33.501159,"south","ARG 1996",7,7,7,7,7,35513793,26642.2,59.2178101978897,"South America_7","ARG_7",355.13793,"ARG",2,5
"43","ARG",1997,822,"Argentina","South America",-33.501159,"south","ARG 1997",7,8,8,8,8,35947791,26642.2,59.2178101978897,"South America_8","ARG_8",359.47791,"ARG",2,5
"44","ARG",1998,3,"Argentina","South America",-33.501159,"south","ARG 1998",7,9,9,9,9,36372860,26642.2,59.2178101978897,"South America_9","ARG_9",363.7286,"ARG",2,5
