"","cases","adjusted_year","YearN","ISO_A0","full_name","continent","population_total","mean_fitted","dis_mean","dis_variance","dis_0.025","dis_0.975","dis_0.05","dis_0.95","dis_time","dis_all","continentID","countryID"
"1",0,1990,1,"ABW","Aruba","Caribbean",62753,0.707444672619914,0.525374685490644,1.86363812066657,-2.71836564759865,2.30135468588964,-2.31311282976007,1.89464311903351,0.525374685490644,0.13891566887031,2,1
"2",0,1997,8,"ABW","Aruba","Caribbean",86301,1.0426787904449,-1.47798352519363,1.16766359326003,-3.27194975642411,0.694450240580956,-2.9513046553922,0.372919216038949,-1.47798352519363,-1.86444254181397,2,1
"3",11,2020,31,"ABW","Aruba","Caribbean",108587,11.377931688681,-1.30662588316835,0.568939236625991,-2.93842795245358,-0.384172772780682,-2.72947402362639,-0.58965314428863,-1.30662588316835,-1.69308489978869,2,1
"4",22,2023,34,"ABW","Aruba","Caribbean",107359,21.0026035219925,0.521694699178333,0.995762633516772,-1.83242864751196,1.64307999251317,-1.55496036028958,1.35747740838561,0.521694699178333,0.135235682557999,2,1
"5",1319,2016,27,"ABW","Aruba","Caribbean",108727,1213.03002264706,1.99857667573595,0.454937343024915,0.054560048601597,2.2880974989215,0.237470271537428,2.10811461951044,1.99857667573595,1.61211765911562,2,1
"6",0,1991,2,"ABW","Aruba","Caribbean",65896,0.568398863391912,-0.0507849883293266,1.81885632767368,-2.7048289871294,2.29639617994019,-2.30016538591637,1.89206287999826,-0.0507849883293266,-0.437244004949661,2,1
"7",0,2003,14,"ABW","Aruba","Caribbean",93128,1.63143980968615,-2.23110314556765,0.934586121623842,-3.87104166175142,-0.361624595620066,-3.58528322406938,-0.644320719496974,-2.23110314556765,-2.61756216218798,2,1
"8",173,2004,15,"ABW","Aruba","Caribbean",95138,180.722783329232,2.60119085471479,0.500295236036832,1.83831753092861,4.1811148208327,2.02823836107835,3.99057080392588,2.60119085471479,2.21473183809445,2,1
"9",0,1998,9,"ABW","Aruba","Caribbean",88451,1.67510066700742,-1.19064841927734,0.958793375890059,-3.82102745408331,-0.267638157791646,-3.53450203755542,-0.556691124495337,-1.19064841927734,-1.57710743589768,2,1
"10",528,2013,24,"ABW","Aruba","Caribbean",105675,499.841653987964,1.02259962378925,0.460287183099862,-0.558386491942143,1.68369600839858,-0.375864964096542,1.50198499645411,1.02259962378925,0.636140607168914,2,1
"11",37,1995,6,"ABW","Aruba","Caribbean",79805,46.034898179143,3.58409968394597,0.677759957567347,0.0384345701935327,2.89593250908816,0.267379333041813,2.66162825096112,3.58409968394597,3.19764066732564,2,1
"12",3025,2011,22,"ABW","Aruba","Caribbean",102591,2947.99215706334,3.1942375482936,0.457179904056715,1.04681751035198,3.28474018813933,1.22931336160174,3.10367680620887,3.1942375482936,2.80777853167327,2,1
"13",0,2007,18,"ABW","Aruba","Caribbean",100150,1.68663300568853,-3.18753374963561,0.894175028853339,-4.13124616509505,-0.718975629595116,-3.85400388742196,-0.994533833341072,-3.18753374963561,-3.57399276625594,2,1
"14",5,2006,17,"ABW","Aruba","Caribbean",99405,5.72375305967294,-1.43900421380817,0.618631722225054,-1.75530946634902,0.943547518534789,-1.53769751489245,0.723409408288108,-1.43900421380817,-1.82546323042851,2,1
"15",25,2002,13,"ABW","Aruba","Caribbean",92074,27.4072391643231,1.06640909275855,0.513160481111508,-0.697814974464875,1.70903118192462,-0.504148199933032,1.51195026471471,1.06640909275855,0.679950076138218,2,1
"16",4,2021,32,"ABW","Aruba","Caribbean",107700,4.69780556563498,-1.83734461103068,0.729253396098989,-2.58958733255861,0.357824281703629,-2.34774685675765,0.121940977123835,-1.83734461103068,-2.22380362765101,2,1
"17",0,1992,3,"ABW","Aruba","Caribbean",69005,0.561345133608503,-0.388495374196623,1.74749010109911,-2.70803019876775,2.20003463661341,-2.31000651159744,1.80406543859135,-0.388495374196623,-0.774954390816957,2,1
"18",335,2015,26,"ABW","Aruba","Caribbean",107906,310.601788942357,0.491844553461257,0.458210648387404,-0.464619710975273,1.7782800435621,-0.280716234929863,1.5977985992785,0.491844553461257,0.105385536840923,2,1
"19",130,1999,10,"ABW","Aruba","Caribbean",89659,143.758182766834,3.31154719041377,0.517015508293075,1.89735969167983,4.28989680300673,2.09188577600198,4.09593962616476,3.31154719041377,2.92508817379343,2,1
"20",0,1993,4,"ABW","Aruba","Caribbean",73685,0.289835389581214,-1.62250812109548,1.8713904855449,-2.66639987872697,2.41791899390019,-2.25436480717403,2.00751446874584,-1.62250812109548,-2.00896713771582,2,1
"21",11,2022,33,"ABW","Aruba","Caribbean",107310,10.6161444482091,-0.571203930737707,0.794922830777135,-1.33789370269899,1.72636065887168,-1.09036021505466,1.47722197322221,-0.571203930737707,-0.957662947358041,2,1
"22",1700,2010,21,"ABW","Aruba","Caribbean",101838,1668.87297878824,2.91939201389556,0.458386716837956,0.712827951478078,2.95707142510485,0.895184567338564,2.77484599150284,2.91939201389556,2.53293299727523,2,1
"23",1734,2017,28,"ABW","Aruba","Caribbean",108735,1593.65337356112,2.52485833258054,0.458686932520701,2.03827793719513,4.27529030729647,2.22226628974312,4.09585382398935,2.52485833258054,2.13839931596021,2,1
"24",0,2001,12,"ABW","Aruba","Caribbean",91439,1.80339839614253,-1.7657067720302,0.89267427730392,-4.0676892530219,-0.641782511647275,-3.78987510851514,-0.918988515057682,-1.7657067720302,-2.15216578865054,2,1
