"","adm0_a3","adjusted_year","annual_precip_mean","anom_ref","precip_anomaly"
"1376","PHL",1991,0.00567466113716364,0.00729397058862054,-0.00161930945145691
"1377","PHL",1992,0.00550966441126851,0.00729397058862054,-0.00178430617735204
"1378","PHL",1993,0.00670238877258574,0.00729397058862054,-0.000591581816034806
"1379","PHL",1994,0.00626935598362858,0.00729397058862054,-0.00102461460499196
"1380","PHL",1995,0.00773246289463714,0.00729397058862054,0.000438492306016593
"1381","PHL",1996,0.00752750172978267,0.00729397058862054,0.000233531141162126
"1382","PHL",1997,0.00574565430482229,0.00729397058862054,-0.00154831628379826
"1383","PHL",1998,0.00631751644929561,0.00729397058862054,-0.000976454139324939
"1384","PHL",1999,0.00875304429791868,0.00729397058862054,0.00145907370929813
"1385","PHL",2000,0.00861324866612752,0.00729397058862054,0.00131927807750698
"1386","PHL",2001,0.00747912384880086,0.00729397058862054,0.000185153260180313
"1387","PHL",2002,0.0061095740335683,0.00729397058862054,-0.00118439655505224
"1388","PHL",2003,0.0065820708599252,0.00729397058862054,-0.000711899728695345
"1389","PHL",2004,0.00625683935747171,0.00729397058862054,-0.00103713123114883
"1390","PHL",2005,0.00696553043477858,0.00729397058862054,-0.000328440153841964
"1391","PHL",2006,0.007266418930764,0.00729397058862054,-2.75516578565451e-05
"1392","PHL",2007,0.00723658967763186,0.00729397058862054,-5.738091098869e-05
"1393","PHL",2008,0.00850236613769084,0.00729397058862054,0.0012083955490703
"1394","PHL",2009,0.00823501258855686,0.00729397058862054,0.000941041999936311
"1395","PHL",2010,0.00697231463467081,0.00729397058862054,-0.000321655953949731
"1396","PHL",2011,0.00937617116142064,0.00729397058862054,0.0020822005728001
"1397","PHL",2012,0.00800348298313717,0.00729397058862054,0.000709512394516625
"1398","PHL",2013,0.00834940585385387,0.00729397058862054,0.00105543526523333
"1399","PHL",2014,0.00810130840788285,0.00729397058862054,0.000807337819262304
"1400","PHL",2015,0.00643122042917336,0.00729397058862054,-0.000862750159447184
"1401","PHL",2016,0.00755623915271523,0.00729397058862054,0.000262268564094686
"1402","PHL",2017,0.00908939567549775,0.00729397058862054,0.0017954250868772
"1403","PHL",2018,0.00724489096319303,0.00729397058862054,-4.90796254275158e-05
"1404","PHL",2019,0.00634653310407884,0.00729397058862054,-0.000947437484541701
"1405","PHL",2020,0.00786913077657421,0.00729397058862054,0.00057516018795367
"1406","PHL",2021,0.00852535013109446,0.00729397058862054,0.00123137954247391
"1407","PHL",2022,0.00893135850007335,0.00729397058862054,0.00163738791145281
"1408","PHL",2023,0.00825549367194374,0.00729397058862054,0.0009615230833232
"1409","PHL",2024,0.00826639289152808,0.00729397058862054,0.00097242230290754
"1410","PLW",1990,0.0072934193109783,0.00849917805850661,-0.00120575874752831
"1411","PLW",1991,0.00703312208255132,0.00849917805850661,-0.00146605597595529
"1412","PLW",1992,0.0064912562763008,0.00849917805850661,-0.00200792178220581
"1413","PLW",1993,0.00778276197767506,0.00849917805850661,-0.00071641608083155
"1414","PLW",1994,0.00761967148476591,0.00849917805850661,-0.000879506573740704
"1415","PLW",1995,0.00882748789930095,0.00849917805850661,0.000328309840794343
"1416","PLW",1996,0.00820710378078123,0.00849917805850661,-0.000292074277725381
"1417","PLW",1997,0.00625309976749122,0.00849917805850661,-0.00224607829101539
"1418","PLW",1998,0.00614199945509123,0.00849917805850661,-0.00235717860341538
"1419","PLW",1999,0.0109001446980983,0.00849917805850661,0.00240096663959169
"1420","PLW",2000,0.0101404261464874,0.00849917805850661,0.00164124808798078
"1421","PLW",2001,0.00984845954614381,0.00849917805850661,0.0013492814876372
"1422","PLW",2002,0.00706223262629161,0.00849917805850661,-0.001436945432215
"1423","PLW",2003,0.00842330356438955,0.00849917805850661,-7.58744941170633e-05
"1424","PLW",2004,0.00771189484900485,0.00849917805850661,-0.000787283209501765
"1425","PLW",2005,0.00957281908874089,0.00849917805850661,0.00107364103023428
"1426","PLW",2006,0.00841470190789551,0.00849917805850661,-8.44761506111052e-05
"1427","PLW",2007,0.00816282408777624,0.00849917805850661,-0.000336353970730367
"1428","PLW",2008,0.00935825263150036,0.00849917805850661,0.000859074572993753
