year,country,iso_a0,region,cases,RISc,risc_intensity,access_to_electricity_percent_of_population,forest_area_percent_of_land_area,gini_index,individuals_using_the_internet_percent_of_population,life_expectancy_at_birth_total_years,people_using_safely_managed_drinking_water_services_percent_of_population,gdp_per_capita_ppp_constant_2021_international,population_ages_0_14_percent_of_total_population,poverty_headcount_ratio_at_2_15_a_day_2017_ppp_percent_of_population,fixed_broadband_subscriptions_per_100_people,average_precipitation_in_depth_mm_per_year,international_tourism_number_of_arrivals,international_tourism_number_of_departures,multidimensional_poverty_headcount_ratio_world_bank_percent_of_population,urban_population_percent_of_total_population,population_total,land_area_sqkm,temp_anomaly,precip_anomaly,conflict_intensity,type_of_conflict,previous_risc
1990,Aruba,ABW,Caribbean,0,0.525374685,high,NA,NA,NA,NA,NA,NA,33050.64428,26.55927806,NA,NA,NA,NA,NA,NA,50.319,62753,180,-0.32687557,0.000474511,0,NA,NA
1991,Aruba,ABW,Caribbean,0,-0.050784988,expected,NA,NA,NA,NA,NA,NA,34550.91789,27.69656961,NA,NA,NA,NA,NA,NA,50.304,65896,180,-0.383588992,-0.000400962,0,NA,0.525374685
1992,Aruba,ABW,Caribbean,0,-0.388495374,expected,NA,NA,NA,NA,NA,NA,35369.99629,28.10240556,NA,NA,NA,NA,NA,NA,49.998,69005,180,-0.227241082,-0.000424247,0,NA,-0.050784988
1993,Aruba,ABW,Caribbean,0,-1.622508121,low,NA,NA,NA,NA,NA,NA,36817.55398,27.52418463,NA,NA,NA,NA,NA,NA,49.588,73685,180,-0.094032807,-0.000146013,0,NA,-0.388495374
1994,Aruba,ABW,Caribbean,0,-2.276720151,low,NA,NA,NA,NA,NA,NA,38584.92616,26.84696261,NA,NA,NA,NA,NA,NA,49.177,77595,180,-0.401501698,-0.000545602,0,NA,-1.622508121
1995,Aruba,ABW,Caribbean,37,3.584099684,high,NA,NA,NA,NA,NA,NA,38366.07179,26.00908501,NA,NA,NA,912000,NA,NA,48.767,79805,180,0.178191461,-9.42E-05,0,NA,-2.276720151
1996,Aruba,ABW,Caribbean,10,1.769970518,high,NA,NA,NA,NA,NA,NA,37663.96356,25.14889759,NA,NA,NA,957000,NA,NA,48.356,83021,180,-0.205253008,-0.000279845,0,NA,3.584099684
1997,Aruba,ABW,Caribbean,0,-1.477983525,low,NA,NA,NA,NA,NA,NA,39115.81311,24.4795866,NA,NA,NA,947000,NA,NA,47.946,86301,180,-0.282782597,-0.000713131,0,NA,1.769970518
1998,Aruba,ABW,Caribbean,0,-1.190648419,low,NA,NA,NA,NA,NA,NA,38714.05869,23.97842452,NA,NA,NA,906000,NA,NA,47.536,88451,180,0.210050382,-0.000339529,0,NA,-1.477983525
1999,Aruba,ABW,Caribbean,130,3.31154719,high,NA,NA,NA,NA,NA,NA,38059.97048,23.60850496,NA,NA,NA,972000,NA,NA,47.127,89659,180,-0.15365875,0.000927586,0,NA,-1.190648419
2000,Aruba,ABW,Caribbean,76,2.539023072,high,NA,NA,NA,NA,NA,NA,39934.24386,23.25563125,NA,NA,NA,1211000,NA,NA,46.717,90588,180,-0.400994979,8.31E-05,0,NA,3.31154719
2001,Aruba,ABW,Caribbean,0,-1.765706772,low,NA,NA,NA,NA,NA,NA,40874.88563,22.87946367,NA,NA,NA,1178000,NA,NA,46.339,91439,180,-0.203012191,-0.00060632,0,NA,2.539023072
2002,Aruba,ABW,Caribbean,25,1.066409093,high,NA,NA,NA,NA,NA,NA,40007.79002,22.50411305,NA,NA,NA,1225000,NA,NA,45.972,92074,180,-0.03680599,-0.000281752,0,NA,-1.765706772
2003,Aruba,ABW,Caribbean,0,-2.231103146,low,NA,NA,NA,NA,NA,NA,40050.61655,22.10278206,NA,1.51555,NA,1184000,NA,NA,45.606,93128,180,0.093017218,1.23E-05,0,NA,1.066409093
2004,Aruba,ABW,Caribbean,173,2.601190855,high,NA,NA,NA,NA,NA,NA,42586.36728,21.66892062,NA,7.46999,NA,1304000,NA,NA,45.24,95138,180,0.007535097,0.001282353,0,NA,-2.231103146
2005,Aruba,ABW,Caribbean,0,-2.832109605,low,NA,NA,NA,NA,NA,NA,41999.79252,21.3578104,NA,13.0256,NA,1286000,NA,NA,44.875,97635,180,0.408647336,0.00065865,0,NA,2.601190855
2006,Aruba,ABW,Caribbean,5,-1.439004214,low,NA,NA,NA,NA,NA,NA,41974.40628,21.24018764,NA,14.627,NA,1285000,NA,NA,44.511,99405,180,0.210525311,-0.00019624,0,NA,-2.832109605
2007,Aruba,ABW,Caribbean,0,-3.18753375,low,NA,NA,NA,NA,NA,NA,42743.22647,21.18311343,NA,16.5612,NA,1254000,NA,NA,44.147,100150,180,0.080021816,0.000101227,0,NA,-1.439004214
2008,Aruba,ABW,Caribbean,0,-3.315558721,low,NA,NA,NA,NA,NA,NA,42990.87354,21.1304543,NA,18.8089,NA,1383000,NA,NA,43.783,100917,180,-0.219978693,0.001231967,0,NA,-3.18753375
2009,Aruba,ABW,Caribbean,845,2.569607721,high,NA,NA,NA,NA,NA,NA,37505.12184,21.05138491,NA,18.9851,NA,1420000,NA,NA,43.421,101604,180,-0.012182278,-0.000447374,0,NA,-3.315558721
2010,Aruba,ABW,Caribbean,1700,2.919392014,high,NA,NA,NA,NA,NA,NA,36069.47673,20.74864338,NA,19.1951,NA,1394000,NA,NA,43.059,101838,180,0.388030169,0.002042829,0,NA,2.569607721
2011,Aruba,ABW,Caribbean,3025,3.194237548,high,NA,NA,NA,NA,NA,NA,36936.14636,20.22500197,NA,NA,NA,1469000,NA,NA,42.94,102591,180,0.028395134,0.001398145,0,NA,2.919392014
2012,Aruba,ABW,Caribbean,0,-4.375379145,low,NA,NA,NA,NA,NA,NA,36256.75835,19.73724801,NA,NA,NA,1481000,NA,NA,42.957,104110,180,0.082150576,-8.78E-05,0,NA,3.194237548
2013,Aruba,ABW,Caribbean,528,1.022599624,high,NA,NA,NA,NA,NA,NA,38300.54122,19.34875583,NA,18.7211,NA,1667000,NA,NA,42.99,105675,180,0.077597735,-0.000428777,0,NA,-4.375379145
2014,Aruba,ABW,Caribbean,400,0.655407593,high,NA,NA,NA,NA,NA,NA,37433.08409,19.04550457,NA,18.5735,NA,1739000,NA,NA,43.041,106807,180,-0.094660801,-0.000671011,0,NA,1.022599624
2015,Aruba,ABW,Caribbean,335,0.491844553,expected,NA,NA,NA,NA,NA,NA,36963.07855,18.79960674,NA,18.237,NA,1832000,NA,NA,43.108,107906,180,0.035988765,-0.000944636,0,NA,0.655407593
2016,Aruba,ABW,Caribbean,1319,1.998576676,high,NA,NA,NA,NA,NA,NA,37377.50229,18.57172144,NA,NA,NA,1758000,NA,NA,43.192,108727,180,0.320789931,0.000392018,0,NA,0.491844553
2017,Aruba,ABW,Caribbean,1734,2.524858333,high,NA,NA,NA,NA,NA,NA,39797.66141,18.33485871,NA,NA,NA,1863000,NA,NA,43.293,108735,180,0.254651186,-0.000333807,0,NA,1.998576676
2018,Aruba,ABW,Caribbean,9,-2.31549081,low,NA,NA,NA,NA,NA,NA,40544.4253,18.06977062,NA,NA,NA,1897000,NA,NA,43.411,108908,180,-0.197325749,-0.000242096,0,NA,2.524858333
2019,Aruba,ABW,Caribbean,106,0.458529163,expected,NA,NA,NA,NA,NA,NA,39432.12893,17.76733917,NA,17.7444,NA,1951000,NA,NA,43.546,109203,180,0.122171519,-0.000915707,0,NA,-2.31549081
2020,Aruba,ABW,Caribbean,11,-1.306625883,low,NA,NA,NA,NA,NA,NA,29935.07028,17.35102196,NA,17.6909,NA,NA,NA,NA,43.697,108587,180,0.415255981,-3.12E-05,0,NA,0.458529163
2021,Aruba,ABW,Caribbean,4,-1.837344611,low,NA,NA,NA,NA,NA,NA,38226.14616,16.79940678,NA,17.6649,NA,NA,NA,NA,43.866,107700,180,0.098153231,-0.000201405,0,NA,-1.306625883
2022,Aruba,ABW,Caribbean,11,-0.571203931,low,NA,NA,NA,NA,NA,NA,42260.45184,16.24078162,NA,17.4862,NA,NA,NA,NA,44.052,107310,180,0.043282308,0.000468948,0,NA,-1.837344611
2023,Aruba,ABW,Caribbean,22,0.521694699,high,NA,NA,NA,NA,NA,NA,NA,15.71177207,NA,NA,NA,NA,NA,NA,44.254,107359,NA,0.576117632,-0.000545682,0,NA,-0.571203931
1990,Argentina,ARG,South America,0,0.156167851,expected,92.15480042,12.86371493,NA,0,71.784,NA,17073.15808,30.4039446,NA,NA,591,NA,NA,NA,86.984,32755901,2736690,0.065153895,0.000322218,0,NA,NA
1991,Argentina,ARG,South America,0,-0.518664085,low,92.4921875,12.79699199,46.8,0,72.319,NA,18369.01072,30.19809572,1,NA,591,NA,NA,NA,87.328,33230294,2736690,-0.75071476,0.00051094,0,NA,0.156167851
1992,Argentina,ARG,South America,0,-0.134721779,expected,92.82945251,12.73026905,45.5,0.002992874,72.43,NA,19553.82534,29.97298149,1.7,NA,591,NA,NA,NA,87.542,33693527,2736690,-0.80564509,0.000258662,0,NA,-0.518664085
1993,Argentina,ARG,South America,0,-0.163884967,expected,93.16604614,12.66354611,44.9,0.029527065,72.565,NA,20873.21919,29.74158101,2,NA,591,NA,NA,NA,87.752,34152717,2736690,-0.172127824,1.95E-05,0,NA,-0.134721779
1994,Argentina,ARG,South America,0,-1.175650708,low,93.50127411,12.59682317,45.9,0.043705951,73.172,NA,21795.84069,29.51088525,1.9,NA,591,NA,NA,NA,87.96,34613491,2736690,-0.103594165,3.33E-05,0,NA,-0.163884967
1995,Argentina,ARG,South America,0,-0.96101083,low,93.83446503,12.53010023,48.9,0.086277081,73.133,NA,20898.53191,29.28147367,3.9,NA,591,2289000,NA,NA,88.164,35070020,2736690,-0.205111127,-0.000170501,0,NA,-1.175650708
1996,Argentina,ARG,South America,0,-1.560350666,low,94.16493988,12.46337729,49.5,0.141954704,73.307,NA,21777.30835,29.05056186,4.2,NA,591,2614000,NA,NA,88.366,35513793,2736690,0.19239499,0.000139959,0,NA,-0.96101083
1997,Argentina,ARG,South America,822,4.616902663,high,94.49201202,12.39665435,49.1,0.280339882,73.09,NA,23263.24402,28.82133544,3.8,NA,591,2764000,NA,NA,88.564,35947791,2736690,-0.183912855,0.000504027,0,NA,-1.560350666
1998,Argentina,ARG,South America,3,-1.446486318,low,94.81500244,12.32993141,50.7,0.83076668,73.474,NA,23880.73138,28.59851029,4,NA,591,3012000,NA,NA,88.759,36372860,2736690,-0.119949441,7.78E-05,0,NA,4.616902663
1999,Argentina,ARG,South America,1700,4.011179339,high,95.13315582,12.26320847,49.8,3.284481956,73.722,NA,22807.98215,28.38644231,4.2,NA,591,2898000,NA,NA,88.952,36794682,2736690,-0.291918974,0.000359103,0,NA,-1.446486318
2000,Argentina,ARG,South America,11,-1.487323596,low,95.68047333,12.19648554,51.1,7.038683086,73.926,NA,22373.03678,28.18021318,5,NA,591,2909000,NA,NA,89.142,37213984,2736690,-0.680381319,0.000315442,0,NA,4.011179339
2001,Argentina,ARG,South America,214,0.958512525,high,95.51106347,12.08087142,53.3,9.780807285,74.186,NA,21152.85678,27.96350395,8.2,0.249835,591,2620000,NA,NA,89.329,37624825,2736690,-0.440566481,0.00034009,0,NA,-1.487323596
2002,Argentina,ARG,South America,135,0.111074079,expected,96.09600067,11.9652573,53.8,10.88212438,74.408,NA,18647.09986,27.73284739,12.4,0.389173,591,2820000,NA,NA,89.51,38029349,2736690,0.114268957,0.000270148,0,NA,0.958512525
2003,Argentina,ARG,South America,3284,2.965077643,high,96.29795074,11.84964318,51,11.91369655,74.08,NA,20086.51232,27.4942109,5.4,0.67366,591,2995000,NA,NA,89.686,38424282,2736690,0.073636352,-0.000250834,0,NA,0.111074079
2004,Argentina,ARG,South America,34,-1.88214539,low,96.50537109,11.73402906,48.5,16.03668411,74.855,NA,21679.00256,27.24804352,3.9,1.3986,591,3457000,4436000,NA,89.86,38815916,2736690,0.023841082,4.33E-05,0,NA,2.965077643
2005,Argentina,ARG,South America,181,-0.532498091,low,96.7252655,11.61841495,47.8,17.72058337,75.139,NA,23355.33078,26.99021478,2.7,2.36307,591,3823000,4481000,NA,90.031,39216789,2736690,-0.10430199,-0.000215521,0,NA,-1.88214539
2006,Argentina,ARG,South America,173,-0.886192017,low,96.96440887,11.50280083,46.4,20.9272021,75.433,NA,24975.01871,26.72248385,2.2,3.99704,591,4173000,4533000,NA,90.2,39622115,2736690,-0.014266234,0.000102562,0,NA,-0.532498091
2007,Argentina,ARG,South America,40,-2.649649097,low,97.22439575,11.38718671,46.3,25.94663294,75.006,NA,26952.09378,26.45350337,1.8,6.49728,591,4562000,4928000,NA,90.366,40016763,2736690,-0.382384838,-0.000197228,0,NA,-0.886192017
2008,Argentina,ARG,South America,26606,3.488946191,high,97.50160217,11.27157259,45,28.11262348,75.641,NA,27768.68438,26.17721599,1.6,7.70515,591,4700000,5425000,NA,90.53,40424148,2736690,0.81164195,-0.000541285,0,NA,-2.649649097
2009,Argentina,ARG,South America,1185,0.050588027,expected,97.79220581,11.15595848,43.8,34,75.936,NA,25861.54357,25.89614797,1.6,8.59391,591,4308000,5793000,NA,90.691,40854831,2736690,-0.02520166,3.60E-05,0,NA,3.488946191
2010,Argentina,ARG,South America,213,-1.987052523,low,98.82,11.04034436,43.7,45,75.721,NA,28407.43057,25.63974444,0.7,9.75627,591,6800000,6083000,0.8,90.849,41288694,2736690,-0.248739184,-0.000252422,0,NA,0.050588027
2011,Argentina,ARG,South America,2803,0.256005143,expected,99.0342865,10.9587129,42.7,51,76.124,NA,29767.77241,25.41917485,0.7,10.956,591,6703000,7676000,0.7,90.99,41730660,2736690,0.354561387,-0.000321591,0,NA,-1.987052523
2012,Argentina,ARG,South America,9294,1.135227866,high,99.14379883,10.87708144,41.4,55.8,76.467,NA,29129.16902,25.22796867,0.6,12.2115,591,6497000,8295000,0.7,91.121,42161721,2736690,0.459875125,-0.0002121,0,NA,0.256005143
2013,Argentina,ARG,South America,3270,-0.207148419,expected,99.28577423,10.79544998,41.1,59.9,76.491,NA,29497.85259,25.05751178,0.7,14.6798,591,6510000,9844000,0.7,91.249,42582455,2736690,0.041595875,-1.32E-05,0,NA,1.135227866
2014,Argentina,ARG,South America,2605,-0.703112522,low,100,10.71381852,41.8,64.7,76.755,NA,28442.24819,24.8909506,0.6,15.153,591,7165000,10022000,0.6,91.377,43024071,2736690,0.873160659,-9.74E-06,0,NA,-0.207148419
2015,Argentina,ARG,South America,77874,2.459166673,high,99.68903351,10.63218706,NA,68.04306411,76.76,NA,28905.76135,24.72921216,NA,15.7689,591,6816000,13159000,NA,91.503,43477012,2736690,-0.207499287,0.000218914,0,NA,-0.703112522
2016,Argentina,ARG,South America,4299,-0.632180928,low,99.89974213,10.60039683,42.3,70.96898082,76.308,NA,28006.7737,24.57632053,0.7,16.5185,591,6668000,18645000,0.7,91.627,43900313,2736690,0.268205502,0.000170785,0,NA,2.459166673
2017,Argentina,ARG,South America,1788,-1.685476396,low,100,10.55983688,41.4,74.29490687,76.833,NA,28499.03425,24.40684309,0.6,17.7082,591,6711000,21583000,0.6,91.749,44288894,2736690,0.555351991,-0.000249634,0,NA,-0.632180928
2018,Argentina,ARG,South America,3203,-1.28560175,low,99.99373627,10.52037315,41.7,77.7,76.999,NA,27472.61025,24.19315135,1,18.9759,591,6942000,18411000,1.1,91.87,44654882,2736690,0.148754854,6.61E-06,0,NA,-1.685476396
2019,Argentina,ARG,South America,59492,1.432921364,high,100,10.48017861,43.3,79.94695203,77.284,NA,26656.79392,23.93954412,1.1,19.5519,591,7399000,15352000,1.1,91.991,44973465,2736690,0.526661057,-0.000455377,0,NA,-1.28560175
2020,Argentina,ARG,South America,3972,-1.498947882,low,100,10.44071488,42.7,85.51438646,75.892,NA,23785.78438,23.65639806,1.2,21.1798,591,NA,NA,1.2,92.111,45191965,2736690,0.29236545,-0.000517751,0,NA,1.432921364
2021,Argentina,ARG,South America,841,-3.319971716,low,100,10.40076395,42.4,87.15070683,NA,NA,26086.80236,23.35673716,0.9,23.15,591,NA,NA,0.9,92.229,45312281,2736690,0.249943116,-0.000540311,0,NA,-1.498947882
2022,Argentina,ARG,South America,118089,1.302060187,high,NA,NA,40.7,88.37535691,NA,NA,27127.4391,23.05333155,0.6,24.6832,NA,NA,NA,0.6,92.347,45407904,2736690,0.950723945,-0.00074376,0,NA,-3.319971716
2023,Argentina,ARG,South America,610041,2.603259591,high,NA,NA,NA,NA,NA,NA,26466.54656,22.73409986,NA,25.3581,NA,NA,NA,NA,92.463,45538401,NA,0.540266056,-0.000219643,0,NA,1.302060187
1990,Antigua And Barbuda,ATG,Caribbean,1,0.595560791,high,95.76304626,22.97727273,NA,0,73.492,NA,20991.5786,29.73645149,NA,NA,1030,NA,NA,NA,35.426,63066,440,-0.273418506,7.44E-05,0,NA,NA
1991,Antigua And Barbuda,ATG,Caribbean,1,0.253599338,expected,95.94065094,22.82727273,NA,0,73.435,NA,21345.38959,29.60445674,NA,NA,1030,NA,NA,NA,35.465,63387,440,-0.373160601,-0.000691786,0,NA,0.595560791
1992,Antigua And Barbuda,ATG,Caribbean,0,-0.877961214,low,96.11813354,22.67727273,NA,0,73.417,NA,21250.38887,29.21712368,NA,NA,1030,NA,NA,NA,35.085,64404,440,-0.270315568,-0.000346893,0,NA,0.253599338
1993,Antigua And Barbuda,ATG,Caribbean,0,-2.069638361,low,96.29494476,22.52727273,NA,0,73.482,NA,21973.16433,28.93359764,NA,NA,1030,NA,NA,NA,34.709,65587,440,-0.24790899,-0.00043309,0,NA,-0.877961214
1994,Antigua And Barbuda,ATG,Caribbean,0,-2.417753316,low,96.47039032,22.37727273,NA,0,73.591,NA,23007.4237,28.74150167,NA,NA,1030,NA,NA,NA,34.334,66843,440,-0.424275478,-0.000916462,0,NA,-2.069638361
1995,Antigua And Barbuda,ATG,Caribbean,56,3.372055352,high,96.64379883,22.22727273,NA,2.200768802,73.636,NA,21577.8546,28.59805842,NA,NA,1030,447000,NA,NA,33.961,68189,440,0.049065034,0.000408844,0,NA,-2.417753316
1996,Antigua And Barbuda,ATG,Caribbean,12,1.630979719,high,96.81448364,22.07727273,NA,2.858449577,73.829,NA,22541.65074,28.51729276,NA,NA,1030,498000,NA,NA,33.59,69612,440,-0.338658889,0.000181393,0,NA,3.372055352
1997,Antigua And Barbuda,ATG,Caribbean,7,0.933273807,high,96.98177338,21.92727273,NA,3.480536838,73.96,NA,23300.9049,28.43121424,NA,NA,1030,526000,NA,NA,33.221,71053,440,-0.00058039,-0.000561188,0,NA,1.630979719
1998,Antigua And Barbuda,ATG,Caribbean,4,0.463699298,expected,97.14498138,21.77727273,NA,4.0717165,74.041,NA,23948.02313,28.25952158,NA,NA,1030,570000,NA,NA,32.855,72412,440,0.381493012,0.00062269,0,NA,0.933273807
1999,Antigua And Barbuda,ATG,Caribbean,2,-0.169714643,expected,97.30335236,21.62727273,NA,5.300681138,74.347,NA,24415.73907,28.00625838,NA,NA,1030,560000,NA,NA,32.49,73666,440,-0.108558575,0.000803518,0,NA,0.463699298
2000,Antigua And Barbuda,ATG,Caribbean,8,1.124835521,high,97.67312622,21.47727273,NA,6.482225737,74.606,NA,25504.03907,27.79628273,NA,NA,1030,634000,NA,NA,32.127,74912,440,-0.303293626,-0.000568984,0,NA,-0.169714643
2001,Antigua And Barbuda,ATG,Caribbean,20,2.146702087,high,97.74580383,21.325,NA,8.899285515,75.078,NA,23973.57839,27.58380896,NA,NA,1030,624000,NA,NA,31.74,76069,440,-0.036284367,-0.000723243,0,NA,1.124835521
2002,Antigua And Barbuda,ATG,Caribbean,5,0.886268123,high,100,21.17272727,NA,12.5,75.536,NA,23912.36713,27.24593562,NA,NA,1030,528000,NA,NA,31.098,77032,440,0.049279292,-0.000587281,0,NA,2.146702087
2003,Antigua And Barbuda,ATG,Caribbean,0,-1.172494411,low,97.87252045,21.02045455,NA,17.22864878,75.478,NA,25079.59688,26.86152329,NA,NA,1030,623000,NA,NA,30.464,77884,440,0.122390827,-0.000121442,0,NA,0.886268123
2004,Antigua And Barbuda,ATG,Caribbean,0,-1.282588937,low,97.94057465,20.86818182,NA,24.26654372,75.672,NA,26234.87628,26.4437998,NA,2.11131,1030,769000,NA,NA,29.837,78719,440,-0.065097888,0.001112605,0,NA,-1.172494411
2005,Antigua And Barbuda,ATG,Caribbean,0,-1.596916641,low,92.2,20.71590909,NA,27,75.825,NA,27608.7427,25.94435889,NA,7.28668,1030,712000,NA,NA,29.218,79611,440,0.373582919,0.000880494,0,NA,-1.282588937
2006,Antigua And Barbuda,ATG,Caribbean,0,-1.650079359,low,100,20.56363636,NA,30,75.765,NA,30722.60156,25.45938896,NA,1.91182,1030,838000,NA,NA,28.606,80604,440,0.139508963,0.000181774,0,NA,-1.596916641
2007,Antigua And Barbuda,ATG,Caribbean,0,-1.538723836,low,100,20.41136364,NA,34,76.131,NA,33125.47813,25.01905128,NA,2.77343,1030,935000,NA,NA,28.002,81704,440,0.135496378,1.91E-05,0,NA,-1.650079359
2008,Antigua And Barbuda,ATG,Caribbean,17,1.970484364,high,100,20.25909091,NA,38,76.41,NA,32629.50216,24.62072528,NA,6.0136,1030,863000,NA,NA,27.405,82912,440,-0.288598776,2.46E-05,0,NA,-1.538723836
2009,Antigua And Barbuda,ATG,Caribbean,2,-0.35477939,expected,98.53059387,20.10681818,NA,42,76.669,NA,28290.06135,24.25547268,NA,19.0251,1030,944000,NA,NA,26.818,84173,440,-0.081551631,-0.000179091,0,NA,1.970484364
2010,Antigua And Barbuda,ATG,Caribbean,3,0.037826853,expected,98.69137573,19.95454545,NA,47,76.82,NA,25718.77417,23.77851683,NA,8.34388,1030,788000,NA,NA,26.238,85320,440,0.57933418,0.000979417,0,NA,-0.35477939
2011,Antigua And Barbuda,ATG,Caribbean,7,0.487962425,expected,94.55201403,19.80454545,NA,52,77.104,NA,24914.39662,23.21541814,NA,6.94991,1030,848000,NA,NA,25.703,86332,440,0.040186961,0.00101757,0,NA,0.037826853
2012,Antigua And Barbuda,ATG,Caribbean,10,0.454392425,expected,100,19.65454545,NA,58,77.35,NA,25477.11924,22.65266784,NA,14.9782,1030,819000,NA,NA,25.526,87260,440,0.078314384,0.000240332,0,NA,0.487962425
2013,Antigua And Barbuda,ATG,Caribbean,3,-0.811000388,low,100,19.50454545,NA,63.4,77.583,NA,25088.56667,22.12334881,NA,17.7678,1030,777000,NA,NA,25.35,88064,440,-0.045283238,0.000146908,0,NA,0.454392425
2014,Antigua And Barbuda,ATG,Caribbean,37,1.174268293,high,100,19.35454545,NA,67.78,77.858,NA,25431.02497,21.65661841,NA,12.1151,1030,771000,NA,NA,25.175,88765,440,-0.092210849,-8.73E-05,0,NA,-0.811000388
2015,Antigua And Barbuda,ATG,Caribbean,14,-0.114517565,expected,100,19.20454545,NA,70,77.913,NA,25596.32162,21.15732067,NA,11.1846,1030,894000,NA,NA,25,89409,440,0.11696283,-0.000759881,0,NA,1.174268293
2016,Antigua And Barbuda,ATG,Caribbean,103,1.56422124,high,100,19.04545455,NA,73,78.152,NA,26462.41193,20.63501703,NA,10.2935,1030,874000,NA,NA,24.846,89969,440,0.23490723,0.000258269,0,NA,-0.114517565
2017,Antigua And Barbuda,ATG,Caribbean,1,-2.660684237,low,100,18.90909091,NA,NA,78.268,NA,26949.11808,20.19117857,NA,9.94827,1030,1040000,NA,NA,24.713,90468,440,0.112355789,0.000272565,0,NA,1.56422124
2018,Antigua And Barbuda,ATG,Caribbean,8,-1.579518885,low,100,18.75,NA,NA,78.511,NA,28663.45259,19.77342552,NA,NA,1030,1064000,NA,NA,24.599,90926,440,-0.160677512,-0.000517994,0,NA,-2.660684237
2019,Antigua And Barbuda,ATG,Caribbean,1223,3.074866993,high,100,18.59090909,NA,95.70763132,78.691,NA,29394.62901,19.38686337,NA,8.75618,1030,1035000,NA,NA,24.506,91364,440,0.12832427,-0.000554668,0,NA,-1.579518885
2020,Antigua And Barbuda,ATG,Caribbean,407,1.658344833,high,100,18.45454545,NA,95.68550784,78.841,NA,23704.04869,19.08238367,NA,8.71023,1030,384500,NA,NA,24.433,91846,440,0.29525431,-0.000100785,0,NA,3.074866993
2021,Antigua And Barbuda,ATG,Caribbean,46,-0.833114784,low,100,18.30295455,NA,95.66338947,NA,NA,25493.12955,18.82116939,NA,8.66279,1030,NA,NA,NA,24.38,92349,440,0.107841889,-0.000836318,0,NA,1.658344833
2022,Antigua And Barbuda,ATG,Caribbean,48,-1.11237002,low,NA,NA,NA,NA,NA,NA,27757.17353,18.54729478,NA,10.6818,NA,NA,NA,NA,24.346,92840,440,0.005697807,-0.000226033,0,NA,-0.833114784
2023,Antigua And Barbuda,ATG,Caribbean,272,0.290695013,expected,NA,NA,NA,NA,NA,NA,28665.59663,18.18596365,NA,NA,NA,NA,NA,NA,24.332,93316,NA,0.530510982,7.93E-05,0,NA,-1.11237002
1990,Australia,AUS,Oceania,138,-0.443047551,expected,100,17.42735899,NA,0.585094712,76.99463415,NA,35754.11412,22.02496093,NA,NA,534,NA,NA,NA,85.433,17065128,7682300,0.250364621,9.07E-06,0,NA,NA
1991,Australia,AUS,Oceania,1098,1.519894388,high,100,17.40043867,NA,1.097203891,77.27560976,NA,35166.46983,21.91334471,NA,NA,534,NA,NA,NA,85.403,17284036,7682300,-0.017638048,-0.000157093,0,NA,-0.443047551
1992,Australia,AUS,Oceania,2070,2.048239872,high,100,17.37351835,NA,1.768764913,77.37804878,NA,34923.66763,21.8223658,NA,NA,534,NA,NA,NA,85.285,17478635,7682300,-0.486993869,2.92E-05,0,NA,1.519894388
1993,Australia,AUS,Oceania,51,-1.755268328,low,100,17.34659802,NA,1.974611016,77.87804878,NA,36014.59158,21.73179944,NA,NA,534,NA,NA,NA,85.157,17634808,7682300,-0.276202361,-7.63E-05,0,NA,2.048239872
1994,Australia,AUS,Oceania,51,-1.880182832,low,100,17.3196777,NA,2.232101254,77.87804878,NA,37088.94009,21.6348018,NA,NA,534,NA,NA,NA,85.028,17805468,7682300,-0.415617069,-1.93E-05,0,NA,-1.755268328
1995,Australia,AUS,Oceania,120,-1.20487087,low,100,17.29275738,32.6,2.759654513,77.82926829,NA,38102.433,21.51967569,0.7,NA,534,3726000,2519000,NA,84.898,18004882,7682300,0.02907141,-9.26E-05,0,NA,-1.880182832
1996,Australia,AUS,Oceania,930,0.662969971,high,100,17.26583705,NA,3.27524987,78.07804878,NA,39097.21049,21.37752596,NA,NA,534,4165000,2732000,NA,84.767,18224767,7682300,-0.229598284,0.00019585,0,NA,-1.20487087
1997,Australia,AUS,Oceania,900,0.466680149,expected,100,17.23891673,NA,16.36935838,78.4804878,NA,40189.92611,21.22080848,NA,NA,534,4318000,2933000,NA,84.636,18423037,7682300,0.266041597,3.06E-06,0,NA,0.662969971
1998,Australia,AUS,Oceania,1386,0.747990202,high,100,17.21199641,NA,30.81323944,78.63170732,NA,41646.89873,21.060427,NA,NA,534,4167000,3161000,NA,84.503,18607584,7682300,-0.100004037,0.00033635,0,NA,0.466680149
1999,Australia,AUS,Oceania,651,-0.138381071,expected,100,17.18507608,NA,40.7837839,78.93170732,NA,43264.85257,20.90122694,NA,NA,534,4459000,3210000,NA,84.37,18812264,7682300,-0.953974088,0.000445903,0,NA,0.747990202
2000,Australia,AUS,Oceania,306,-1.007545569,low,100,17.15815576,NA,46.75611561,79.23414634,NA,44449.85278,20.73719988,NA,NA,534,4931000,3498000,NA,84.235,19028802,7682300,-0.433765968,0.000290139,0,NA,-0.138381071
2001,Australia,AUS,Oceania,693,-0.306159522,expected,100,17.12863335,33.5,52.68926643,79.63414634,NA,44771.46131,20.55564323,0.7,0.63412,534,4856000,3443000,NA,84.1,19274701,7682300,-0.470020215,-0.000142587,0,NA,-1.007545569
